,Project Duration,Indirect Cost,Crash Cost,Total Cost,Crashed Durations
20,81,81000,5400.0,86400.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
21,81,81000,5800.0,86800.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
22,81,81000,6200.0,87200.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
23,81,81000,6600.0,87600.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
24,81,81000,7000.0,88000.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
25,81,81000,7400.0,88400.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
26,81,81000,7800.0,88800.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
27,80,80000,8200.0,88200.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
28,80,80000,8600.0,88600.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
29,80,80000,9000.0,89000.0,"{'A1': 2, 'A2': 3, 'A3': 1, 'A4': 2, 'A5': 3, 'A6': 1, 'A7': 3, 'A8': 3, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 4, 'A15': 5, 'A16': 2, 'A17': 4, 'A18': 4, 'A19': 5, 'A20': 3, 'A21': 4, 'A22': 6, 'A23': 5, 'A24': 6, 'A25': 3, 'A26': 4, 'A27': 5, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 4, 'A35': 3, 'A36': 2, 'A37': 2, 'A38': 1, 'A39': 1, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
